index,x,y
46.861794,337,777
46.898213,356,779
46.932692,449,783
46.966806,583,790
46.999016,664,795
47.031134,720,799
47.063661,754,801
47.097579,774,804
47.131808,785,809
47.166952,853,813
47.197488,910,814
47.230249,970,816
47.262237,1016,818
47.295431,1048,824
47.328236,1075,830
47.363536,1092,833
47.398401,1098,834
47.429306,1102,834
47.465302,1107,835
47.49686,1110,835
47.526502,1114,834
47.558606,1114,835
47.594755,1117,834
47.625666,1115,834
47.659556,1112,834
47.694797,1110,834
